aamm;Autopartes;SA;Dev;TC Multilateral;Inf Salarios;Dev t;Dev t-1;Dev t-2;Dev t-3;Dev t-4;Dev t-5;Dev t-6;Dev t-7;Dev t-8;Dev t-9;Dev t-10;Dev t-11;Dev t-12
201601;0.046812704;0.136032188;0.064615385;0.039688148;0.01410273;0.039688148;0.334728058;0.013626705;0.025329546;-0.025170603;-0.012422667;-0.0219328;0.017917446;-0.021386507;0.047012184;-0.036111662;-0.026288503;0.009516174
201602;0.034466257;0.081106071;0.141618497;0.12687047;0.013268691;0.12687047;0.039688148;0.334728058;0.013626705;0.025329546;-0.025170603;-0.012422667;-0.0219328;0.017917446;-0.021386507;0.047012184;-0.036111662;-0.026288503
201603;0.024805294;0.037785837;-0.061392405;-0.004874991;0.031478217;-0.004874991;0.12687047;0.039688148;0.334728058;0.013626705;0.025329546;-0.025170603;-0.012422667;-0.0219328;0.017917446;-0.021386507;0.047012184;-0.036111662
201604;0.02127055;-0.000264095;-0.035738368;-0.017007998;0.041259766;-0.017007998;-0.004874991;0.12687047;0.039688148;0.334728058;0.013626705;0.025329546;-0.025170603;-0.012422667;-0.0219328;0.017917446;-0.021386507;0.047012184
201605;0.014174053;0.003576814;-0.021678322;-0.047570006;0.033177022;-0.047570006;-0.017007998;-0.004874991;0.12687047;0.039688148;0.334728058;0.013626705;0.025329546;-0.025170603;-0.012422667;-0.0219328;0.017917446;-0.021386507
201606;0.030477041;-0.006211838;0.065046462;0.093475051;0.019289686;0.093475051;-0.047570006;-0.017007998;-0.004874991;0.12687047;0.039688148;0.334728058;0.013626705;0.025329546;-0.025170603;-0.012422667;-0.0219328;0.017917446
201607;0.010588955;0.038919123;0.009395973;0.013478023;0.044639875;0.013478023;0.093475051;-0.047570006;-0.017007998;-0.004874991;0.12687047;0.039688148;0.334728058;0.013626705;0.025329546;-0.025170603;-0.012422667;-0.0219328
201608;0.00797491;0.004284949;0.003989362;0.002630303;0.027493606;0.002630303;0.013478023;0.093475051;-0.047570006;-0.017007998;-0.004874991;0.12687047;0.039688148;0.334728058;0.013626705;0.025329546;-0.025170603;-0.012422667
201609;0.003244312;0.009643476;0.019205298;0.02680792;0.013171541;0.02680792;0.002630303;0.013478023;0.093475051;-0.047570006;-0.017007998;-0.004874991;0.12687047;0.039688148;0.334728058;0.013626705;0.025329546;-0.025170603
201610;0.006915917;0.033414586;-0.012995452;-0.016160219;0.023646228;-0.016160219;0.02680792;0.002630303;0.013478023;0.093475051;-0.047570006;-0.017007998;-0.004874991;0.12687047;0.039688148;0.334728058;0.013626705;0.025329546
201611;0.008202955;0.012747901;0.03357472;-0.013825716;0.0158;-0.013825716;-0.016160219;0.02680792;0.002630303;0.013478023;0.093475051;-0.047570006;-0.017007998;-0.004874991;0.12687047;0.039688148;0.334728058;0.013626705
201612;0.025864268;0.01339069;0.003184713;0.019549937;0.010927348;0.019549937;-0.013825716;-0.016160219;0.02680792;0.002630303;0.013478023;0.093475051;-0.047570006;-0.017007998;-0.004874991;0.12687047;0.039688148;0.334728058
201701;0.019599334;0.006011593;0.010793651;0.032696714;0.022300127;0.032696714;0.019549937;-0.013825716;-0.016160219;0.02680792;0.002630303;0.013478023;0.093475051;-0.047570006;-0.017007998;-0.004874991;0.12687047;0.039688148
201702;0.006568994;-0.003154931;-0.027638191;-0.021200752;0.009430368;-0.021200752;0.032696714;0.019549937;-0.013825716;-0.016160219;0.02680792;0.002630303;0.013478023;0.093475051;-0.047570006;-0.017007998;-0.004874991;0.12687047
201703;0.004604822;0.017781107;0.00374677;0.005409674;0.023874682;0.005409674;-0.021200752;0.032696714;0.019549937;-0.013825716;-0.016160219;0.02680792;0.002630303;0.013478023;0.093475051;-0.047570006;-0.017007998;-0.004874991
201704;0.0155876;0.000891858;-0.008881452;-0.010797636;0.033548387;-0.010797636;0.005409674;-0.021200752;0.032696714;0.019549937;-0.013825716;-0.016160219;0.02680792;0.002630303;0.013478023;0.093475051;-0.047570006;-0.017007998
201705;0.016288936;0.011936272;0.040909091;0.038543044;0.017388978;0.038543044;-0.010797636;0.005409674;-0.021200752;0.032696714;0.019549937;-0.013825716;-0.016160219;0.02680792;0.002630303;0.013478023;0.093475051;-0.047570006
201706;0.004516566;0.018450216;0.026200873;0.03174188;0.021211324;0.03174188;0.038543044;-0.010797636;0.005409674;-0.021200752;0.032696714;0.019549937;-0.013825716;-0.016160219;0.02680792;0.002630303;0.013478023;0.093475051
201707;0.031925948;0.030707663;0.081458967;0.106787476;0.040168226;0.106787476;0.03174188;0.038543044;-0.010797636;0.005409674;-0.021200752;0.032696714;0.019549937;-0.013825716;-0.016160219;0.02680792;0.002630303;0.013478023
201708;0.04107418;0.004131749;-0.031478359;-0.025609136;0.018483373;-0.025609136;0.106787476;0.03174188;0.038543044;-0.010797636;0.005409674;-0.021200752;0.032696714;0.019549937;-0.013825716;-0.016160219;0.02680792;0.002630303
201709;0.000866131;0.004167067;0.015089959;0.006607165;0.014421129;0.006607165;-0.025609136;0.106787476;0.03174188;0.038543044;-0.010797636;0.005409674;-0.021200752;0.032696714;0.019549937;-0.013825716;-0.016160219;0.02680792
201710;0.008757832;0.013322361;0.012006861;-0.005754373;0.017490616;-0.005754373;0.006607165;-0.025609136;0.106787476;0.03174188;0.038543044;-0.010797636;0.005409674;-0.021200752;0.032696714;0.019549937;-0.013825716;-0.016160219
201711;0.002214867;0.009152334;-0.018926554;-0.002935878;0.012794349;-0.002935878;-0.005754373;0.006607165;-0.025609136;0.106787476;0.03174188;0.038543044;-0.010797636;0.005409674;-0.021200752;0.032696714;0.019549937;-0.013825716
201712;0.002022338;0.002038204;0.105672329;0.098792237;0.006432613;0.098792237;-0.002935878;-0.005754373;0.006607165;-0.025609136;0.106787476;0.03174188;0.038543044;-0.010797636;0.005409674;-0.021200752;0.032696714;0.019549937
201801;0.034885309;0.056870689;0.019791667;0.053762309;0.012320961;0.053762309;0.098792237;-0.002935878;-0.005754373;0.006607165;-0.025609136;0.106787476;0.03174188;0.038543044;-0.010797636;0.005409674;-0.021200752;0.032696714
201802;0.018922655;0.043434067;0.027068437;0.012251627;0.007454739;0.012251627;0.053762309;0.098792237;-0.002935878;-0.005754373;0.006607165;-0.025609136;0.106787476;0.03174188;0.038543044;-0.010797636;0.005409674;-0.021200752
201803;0.025515174;0.022097879;0.001939334;-0.00512639;0.019405014;-0.00512639;0.012251627;0.053762309;0.098792237;-0.002935878;-0.005754373;0.006607165;-0.025609136;0.106787476;0.03174188;0.038543044;-0.010797636;0.005409674
201804;0.008625696;0.010150128;0.01940543;0.000745978;0.027849789;0.000745978;-0.00512639;0.012251627;0.053762309;0.098792237;-0.002935878;-0.005754373;0.006607165;-0.025609136;0.106787476;0.03174188;0.038543044;-0.010797636
201805;0.047250662;0.102993313;0.2030185;0.159088011;0.02140232;0.159088011;0.000745978;-0.00512639;0.012251627;0.053762309;0.098792237;-0.002935878;-0.005754373;0.006607165;-0.025609136;0.106787476;0.03174188;0.038543044
201806;0.034424555;0.118683389;0.13719142;0.11388258;0.013616481;0.11388258;0.159088011;0.000745978;-0.00512639;0.012251627;0.053762309;0.098792237;-0.002935878;-0.005754373;0.006607165;-0.025609136;0.106787476;0.03174188
201807;0.046863138;0.030579372;-0.030071174;-0.016557678;0.025683859;-0.016557678;0.11388258;0.159088011;0.000745978;-0.00512639;0.012251627;0.053762309;0.098792237;-0.002935878;-0.005754373;0.006607165;-0.025609136;0.106787476
201808;0.040957607;0.054271881;0.150247661;0.106981124;0.028840934;0.106981124;-0.016557678;0.11388258;0.159088011;0.000745978;-0.00512639;0.012251627;0.053762309;0.098792237;-0.002935878;-0.005754373;0.006607165;-0.025609136
201809;0.190336179;0.251877511;0.315789474;0.321718949;0.027636699;0.321718949;0.106981124;-0.016557678;0.11388258;0.159088011;0.000745978;-0.00512639;0.012251627;0.053762309;0.098792237;-0.002935878;-0.005754373;0.006607165
201810;0.01299495;0.033162131;-0.105454545;-0.087550183;0.041335045;-0.087550183;0.321718949;0.106981124;-0.016557678;0.11388258;0.159088011;0.000745978;-0.00512639;0.012251627;0.053762309;0.098792237;-0.002935878;-0.005754373
201811;0.012026591;0.006650384;0.042276423;0.026502179;0.023483728;0.026502179;-0.087550183;0.321718949;0.106981124;-0.016557678;0.11388258;0.159088011;0.000745978;-0.00512639;0.012251627;0.053762309;0.098792237;-0.002935878
201812;0.003046707;0.037728304;-0.01976079;-0.018176912;0.019512195;-0.018176912;0.026502179;-0.087550183;0.321718949;0.106981124;-0.016557678;0.11388258;0.159088011;0.000745978;-0.00512639;0.012251627;0.053762309;0.098792237
201901;0.02809165;0.000739195;-0.014588859;-0.00063681;0.031956997;-0.00063681;-0.018176912;0.026502179;-0.087550183;0.321718949;0.106981124;-0.016557678;0.11388258;0.159088011;0.000745978;-0.00512639;0.012251627;0.053762309
201902;0.024612794;0.023951344;0.053835801;0.05654114;0.02673154;0.05654114;-0.00063681;-0.018176912;0.026502179;-0.087550183;0.321718949;0.106981124;-0.016557678;0.11388258;0.159088011;0.000745978;-0.00512639;0.012251627
